Source Voltage [V],Voltage over Resistor [mV],Voltage over Diode [V],Current [uA]
-5.992,-1429.0,-4.563,-1429.0
-5.493,-1038.0,-4.455,-1038.0
-4.993,-687.0,-4.306,-687.0
-4.494,-396.0,-4.098,-396.0
-4.294,-301.0,-3.993,-301.0
-4.195,-260.0,-3.935,-260.0
-4.095,-222.0,-3.873,-222.0
-3.995,-186.0,-3.809,-186.0
-2.997,-15.0,-2.982,-15.0
-1.998,2.0,-2.0,2.0
-1.199,2.0,-1.201,2.0
-0.699,1.0,-0.7,1.0
-0.599,1.0,-0.6,1.0
-0.499,1.0,-0.5,1.0
-0.4,0.0,-0.4,0.0
-0.3,1.0,-0.301,1.0
-0.2,1.0,-0.201,1.0
-0.1,1.0,-0.101,1.0
0,0.0,0,0.0
0.099,0.0,0.099,0.0
0.199,0.0,0.199,0.0
0.299,0.0,0.299,0.0
0.599,9.0,0.59,9.0
0.698,51.0,0.647,51.0
0.798,124.0,0.674,124.0
0.898,208.0,0.69,208.0
1.198,482.0,0.716,482.0
